iso3_code,country,avg_gdp,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BHR,Bahrain,29862420212.76597,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32250132978.7234,35432686170.2128
BHS,"Bahamas, The",10877277000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10627600000.0,10957300000.0,11792300000.0,11838800000.0,12162100000.0
BIH,Bosnia and Herzegovina,17771676778.85661,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16211541253.1897,16913330693.9653,18080118128.3854
BLR,Belarus,61099135333.89873,60763483146.0674,50874078052.2735,58665088956.0255,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849
BLZ,Belize,1588415735.0,1368625150.0,1335217500.0,1396731700.0,1486595750.0,1563827850.0,1608442150.0,1692955750.0,1762500450.0,1806646250.0,1862614800.0
BMU,Bermuda,5720456333.333334,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,
BOL,Bolivia,27281697301.038197,16674324634.2373,17339992165.2422,19649631450.6819,23963033588.0063,27084497539.7974,30659338784.3705,32996188133.1404,33000198263.3864,33941126193.9219,37508642257.5977
BRA,Brazil,2123399153945.0337,1695824565983.2,1667019783585.08,2208871646202.82,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61
BRB,Barbados,4611665000.0,4782000000.0,4479950000.0,4529900000.0,4660900000.0,4656350000.0,4612500000.0,4608350000.0,4584150000.0,4529050000.0,4673500000.0
BRN,Brunei Darussalam,14805796193.98603,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17098342541.4365,12930394937.8137,11400653949.1783,12128088999.9276
BTN,Bhutan,1833522867.2483048,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.8395398,1976938529.72743,2059809919.89325,2219675780.89539,2528007911.35353
BWA,Botswana,14404397979.570356,10945070441.9283,10267133177.7334,12786654365.8738,15351972229.5341,16067155187.0375,14901750764.9811,16250750259.0212,14420604205.7459,15646323340.5497,17406565823.2986
CAF,Central African Republic,2045676053.639165,1985240986.18508,2059094048.2601898,2140503193.16261,2434792412.50855,2510270267.72918,1700627479.55631,1904794555.18138,1709221159.20294,1844714794.83758,2167501639.76783
CAN,Canada,1651690559720.9912,1549131208997.19,1371153004986.44,1613542812589.39,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32,1646867220617.47
CEB,Central Europe and the Baltics,1387178809199.679,1530305253849.27,1287790847790.09,1312306614706.01,1445166364927.32,1351020408339.39,1421923544401.21,1464718685618.07,1287360865864.85,1315627473799.51,1455568032701.07
CHE,Switzerland,647394173217.2559,554363487120.303,541506500413.565,583782977866.405,699579638638.2261,668043614122.87,688504173431.454,709182559935.3009,679832291693.2571,670181065629.156,678965423322.021
